Image,Threshold,TPR,FPR,TP,FP,FN
Real_Image,0.3,0.6,0.0,3,0,2
Real_Image,0.4,0.6,0.0,3,0,2
Real_Image,0.5,0.6,0.0,3,0,2
Real_Image,0.6,0.6,0.0,3,0,2
Real_Image,0.7,0.4,0.0,2,0,3
Real_Image,0.8,0.4,0.0,2,0,3
Real_Image,0.9,0.0,0,0,0,5
Real_Image,1.0,0.0,0,0,0,5
Synthetic_Image,0.3,0.6,0.0,3,0,2
Synthetic_Image,0.4,0.6,0.0,3,0,2
Synthetic_Image,0.5,0.6,0.0,3,0,2
Synthetic_Image,0.6,0.6,0.0,3,0,2
Synthetic_Image,0.7,0.4,0.0,2,0,3
Synthetic_Image,0.8,0.4,0.0,2,0,3
Synthetic_Image,0.9,0.0,0,0,0,5
Synthetic_Image,1.0,0.0,0,0,0,5
